consentimento,TI01[SQ001],TI01[SQ002],TI01[SQ004],TI01[SQ003],TI01[SQ005],TI01[SQ006],TI01[SQ007],TI01[SQ008],TI02[SQ001],TI02[SQ002],TI02[SQ003],TI02[SQ004],TI02[SQ005],TI02[SQ006],TI02[SQ007],TI02[SQ008],TI02[SQ009],hab2,hab3,hab4,HAB01[SQ001],HAB01[SQ002],HAB01[SQ003],HAB01[SQ004],HAB01[SQ005],HAB01[SQ006],HAB01[SQ007],HAB01[SQ008],hab5[SQ007],hab5[SQ008],hab5[SQ002],hab5[SQ001],hab5[SQ003],hab5[SQ004],hab5[SQ005],hab5[SQ006],hab6[SQ001],hab6[SQ002],hab6[SQ003],hab6[SQ004],hab7[SQ001],hab7[SQ002],hab7[SQ003],hab7[SQ004],octs1,octs2,octs3,octs4[SQ001],octs4[SQ002],octs4[SQ003],octs4[SQ004],octs5[SQ001],octs5[SQ002],octs5[SQ003],octs5[SQ004],octs5[SQ005],octs6[SQ001],octs6[SQ002],octs6[SQ003],octs6[SQ004],octs6[SQ005],octs6[SQ006],odc2,odc4[SQ001],odc4[SQ002],odc4[SQ003],odc4[SQ004],odc4[SQ005],odc4[SQ006],odc4[SQ007],odc4[SQ008],odc4[SQ009],odc1[SQ001],odc1[SQ002],odc1[SQ003],odc1[SQ004],odc1[SQ005],odc1[SQ006],odc1[SQ007],odc3[SQ001],odc3[SQ002],odc3[SQ003],odc3[SQ004],odc3[SQ005],odc3[SQ006],odc3[SQ007],odc3[SQ008],odc3[SQ009],adc2,adc8,adc4,adc5,adc07,adc1[SQ001],adc1[SQ002],adc1[SQ003],adc1[SQ004],adc1[SQ005],adc1[SQ006],adc1[SQ007],adc1[SQ008],adc1[SQ009],adc1[SQ010],adc1[SQ011],adc1[SQ012],adc1[SQ013],adc1[SQ014],adc1[SQ015],adc3[SQ001],adc3[SQ002],adc3[SQ003],adc3[SQ004],adc6[SQ001],adc6[SQ002],adc6[SQ003],MO01[SQ001],MO01[SQ002],MO01[SQ003],MO01[SQ004],MO01[SQ005],MO01[SQ006],MO01[SQ007],MO01[SQ008],MO01[SQ009],MO01[SQ010],MO01[SQ011],MO01[SQ012],MO01[SQ013],MO02[SQ001],MO02[SQ002],MO02[SQ003],MO02[SQ004],MO02[SQ005],MO02[SQ006],MO02[SQ007],MO02[SQ008],MO02[SQ009],MO02[SQ010],MO02[SQ011],MO02[SQ012],MO03[SQ001],MO03[SQ002],MO03[SQ003],MO03[SQ004],MO03[SQ005],MO03[SQ006],MO03[SQ007],MO03[SQ008],MO05,MO07,MO04[SQ001],MO04[SQ002],MO04[SQ003],MO04[SQ004],MO06[SQ001],MO06[SQ002],MO06[SQ003],MO06[SQ004],VAL01[SQ001],VAL01[SQ002],VAL01[SQ003],VAL01[SQ004],VAL01[SQ005],VAL01[SQ006],VAL01[SQ007],VAL01[SQ008],VAL01[SQ009],VAL01[SQ010],VAL02[SQ001],VAL02[SQ002],VAL02[SQ003],VAL02[SQ004],VAL02[SQ005],CE02,CE03,CE04,CE05,CE06,CE10,CE07,CE08,CE11,CE13,CE14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Interessado,Interessado,Interessado,Nada Interessado,Pouco Interessado,Nada Interessado,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Muito Interessado,Interessado,Sim,Não,Sim,Não,Não,Não,Sim,Sim,Não,Canais da SBPC,Insuficiente,Positivas,Frequentemente,Frequentemente,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Prejudicial,Um pouco prejudicial,Muito prejudicial,Muito prejudicial,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Nenhum risco,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Preocupado,Preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Sim,Não,Não,Sim,Não,Não,Não,Não,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Discordo em parte,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",4,3,Sim,3 vezes,Nenhuma vez,Nenhuma vez,3 vezes,2 vezes,3 vezes,2 vezes,3 vezes,2 vezes,1 vez,1 vez,3 vezes,Nenhuma vez,5 vezes,3 vezes,Muito importante,Muito importante,Importante,Pouco importante,Raramente,Raramente,Não se aplica a mim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Concordo totalmente,Sim,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Não pertenço,Não pertenço,Não pertenço,,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Médio,Branca,Outros,Importante,ciência aplicada,De esquerda,1D,Engenharias,Nordeste,44 ANOS
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Pouco Interessado,Interessado,Interessado,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Ciência Hoje,Insuficiente,Negativas,Frequentemente,Frequentemente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Preocupado,Preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Muito preocupado,Muito importante,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Concordo em parte,Concordo em parte,Muito importante,Muito importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Em geral sim,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",2,2,Sim,4 vezes,3 vezes,4 vezes,2 vezes,2 vezes,2 vezes,Nenhuma vez,2 vezes,4 vezes,2 vezes,2 vezes,Nenhuma vez,Nenhuma vez,2 vezes,2 vezes,Muito importante,Importante,Muito importante,Importante,Frequentemente,Frequentemente,Não se aplica a mim,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Sim,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer",Feminino,Ensino Fundamental Incompleto,Branca,Cristã católica ,Importante,tanto ciência básica como aplicada,De esquerda,1C,Ciências Exatas e da Terra,Sul,19 anos
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Pouco Interessado,Interessado,Interessado,Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,,Insuficiente,Negativas,Raramente,Nunca,Nunca,Nunca,Às vezes,Frequentemente,Frequentemente,Nunca,Muito prejudicial,Muito prejudicial,Não causa prejuízos,Não causa prejuízos,Não causa prejuízos,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,10.0,10.0,10.0,1.0,5.0,7.0,7.0,7.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo em parte,Discordo em parte,Concordo totalmente,Concordo totalmente,Discordo em parte,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Muito importante,Não,Sim,Não,Sim,Não,Não,Não,Não,Sim,Discordo em parte,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo totalmente,Concordo em parte,Concordo totalmente,Muito importante,Importante,Um pouco importante,Um pouco importante,Muito importante,Importante,Muito importante,Importante,Muito importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,0,,Nenhuma vez,Nenhuma vez,Nenhuma vez,mais de 5 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Muito importante,Muito importante,Muito importante,Nunca,Nunca,Nunca,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, e não faria de jeito nenhum","Não fiz, mas poderia fazer","Não fiz, e não faria de jeito nenhum","Não fiz, e não faria de jeito nenhum",Masculino,Ensino Médio,Parda,Cristã católica ,Importante,tanto ciência básica como aplicada,Liberal,2,Engenharias,Sudeste,14
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Pouco Interessado,Interessado,Muito Interessado,Muito Interessado,Interessado,Interessado,Pouco Interessado,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,StarTalk (Neil DeGrasse Tyson); SmarterEveryDay,Insuficiente,Negativas,Frequentemente,Às vezes,Raramente,Às vezes,Frequentemente,Frequentemente,Às vezes,Às vezes,Prejudicial,Prejudicial,Prejudicial,Prejudicial,Prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Discordo em partes,Concordo em parte,Discordo totalmente,Discordo em parte,Discordo em parte,Discordo em parte,Preocupado,Preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Discordo em parte,Concordo totalmente,Concordo em parte,Discordo totalmente,Discordo em parte,Concordo em parte,Concordo totalmente,Um pouco importante,Importante,Um pouco importante,Importante,Muito importante,Muito importante,Muito importante,Muito importante,Um pouco importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",5,2,Não,Nenhuma vez,mais de 5 vezes,Nenhuma vez,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,3 vezes,1 vez,2 vezes,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,Importante,Muito importante,Muito importante,Importante,Frequentemente,Frequentemente,Nunca,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Sim,Sim,Concordo parcialmente,Sim,Não conheço,Não conheço,Não conheço,Não conheço,Conheço mas não participei,Participei como docente,Conheço mas não participei,Não conheço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Sim, já fiz",Masculino,Ensino Superior,Branca,Cristã católica ,Pouco importante,ciência aplicada,De centro,2,Engenharias,Nordeste,5
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Interessado,Pouco Interessado,Interessado,Pouco Interessado,Interessado,Pouco Interessado,Sim,Não,Não,Não,Não,Sim,Não,Sim,Não,National Geographic,Insuficiente,Positivas,Frequentemente,Às vezes,Às vezes,Frequentemente,Frequentemente,Raramente,Às vezes,Às vezes,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,Irrelevante para a ciência,10.0,10.0,8.0,10.0,10.0,10.0,10.0,10.0,Atrasado,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo em partes,Discordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Discordo em parte,Concordo em parte,Nada preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Preocupado,Importante,Sim,Não,Não,Não,Sim,Não,Não,Não,Sim,Concordo totalmente,Concordo em parte,Concordo em parte,Discordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Importante,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Importante,Um pouco importante,"Em geral, não",Sobre temas controversos de interesse público nos quais você tem alguma expertise.,0,0,Não,1 vez,mais de 5 vezes,1 vez,mais de 5 vezes,Nenhuma vez,mais de 5 vezes,Nenhuma vez,4 vezes,3 vezes,mais de 5 vezes,2 vezes,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Importante,Importante,Importante,Pouco importante,Nunca,Raramente,Nunca,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Sim,Concordo parcialmente,Sim,,,,,Conheço mas não participei,Participei como docente,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Pertenço e frequento,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental,Branca,Cristã católica ,Pouco importante,tanto ciência básica como aplicada,De centro,2,Ciências da Saúde,Sul,15
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Sim,Não,Sim,Não,Não,Sim,Sim,Não,Não,Revista FAPESP,Insuficiente,Positivas,Frequentemente,Às vezes,Às vezes,Às vezes,Às vezes,Frequentemente,Frequentemente,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Prejudicial,Muito prejudicial,10.0,8.0,8.0,8.0,9.0,9.0,10.0,9.0,Intermediário,Muitos benefícios,Alguns riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo em partes,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Preocupado,Nada preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Importante,Sim,Não,Não,Não,Sim,Sim,Não,Não,Não,Concordo em parte,Concordo em parte,Concordo em parte,Discordo em parte,Discordo em parte,Discordo em parte,Discordo em parte,Importante,Um pouco importante,Um pouco importante,Nada importante,Um pouco importante,Importante,Nada importante,Um pouco importante,Nada importante,"Em geral, não","Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",Nenhuma,Nenhuma,Não,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,2 vezes,Nenhuma vez,Nada importante,Nada importante,Nada importante,Nada importante,Nunca,Nunca,Nunca,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Não,Não,Sim,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Sim,Não,Não,Não,Sim,Não,Não,Concordo parcialmente,Não,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Não conheço,Conheço mas não participei,Conheço mas não participei,Participei como docente,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Superior,Branca,Cristã católica ,Pouco importante,ciência básica,De esquerda,1C,Ciências Humanas,Sul,29
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Pouco Interessado,Muito Interessado,Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Sim,Sim,Sim,Sim,Não,Sim,Sim,Sim,Não,,Razoável,Positivas,Frequentemente,Raramente,Às vezes,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,Muito prejudicial,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Poucos riscos,Concordo em partes,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo em parte,Concordo totalmente,Concordo em parte,Muito preocupado,Extremamente preocupado,Muito preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Concordo em parte,Concordo totalmente,Concordo em parte,Concordo em parte,Concordo totalmente,Concordo totalmente,Concordo totalmente,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Raramente,Sobre os resultados de sua pesquisa,5 ,5,Sim,mais de 5 vezes,mais de 5 vezes,Nenhuma vez,2 vezes,2 vezes,1 vez,2 vezes,1 vez,2 vezes,2 vezes,1 vez,Nenhuma vez,Nenhuma vez,mais de 5 vezes,mais de 5 vezes,Muito importante,Muito importante,Importante,Importante,Frequentemente,Frequentemente,Frequentemente,Não,Sim,Não,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Sim,Sim,Concordo totalmente,Não,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Pertenço e frequento,"Pertenço, mas não frequento muito",Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Sim, já fiz","Não fiz, mas poderia fazer","Sim, já fiz","Sim, já fiz","Sim, já fiz",Feminino,Ensino Fundamental,Branca,Cristã católica ,Muito importante,ciência aplicada,De esquerda,1D,Ciências Agrárias,Sudeste,16
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Muito Interessado,Muito Interessado,Muito Interessado,Interessado,Pouco Interessado,Pouco Interessado,Pouco Interessado,Sim,Não,Sim,Não,Não,Sim,Não,Sim,Não,Revista FAPESP,Nulo,Positivas,Às vezes,Às vezes,Raramente,Raramente,Raramente,Às vezes,Às vezes,Às vezes,Muito prejudicial,Muito prejudicial,Muito prejudicial,Irrelevante para a ciência,Muito prejudicial,Um pouco prejudicial,Muito prejudicial,Muito prejudicial,10.0,5.0,10.0,5.0,10.0,10.0,10.0,10.0,Intermediário,Muitos benefícios,Alguns riscos,Discordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Concordo totalmente,Discordo totalmente,Concordo totalmente,Concordo em parte,Discordo totalmente,Nada preocupado,Preocupado,Preocupado,Extremamente preocupado,Extremamente preocupado,Extremamente preocupado,Muito importante,Não,Sim,Sim,Não,Não,Não,Não,Não,Sim,Concordo totalmente,Concordo totalmente,Discordo totalmente,Discordo totalmente,,,Concordo em parte,Importante,Importante,Importante,Muito importante,Muito importante,Muito importante,Nada importante,Nada importante,Nada importante,Não se aplica a mim,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,,Não,2 vezes,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Nada importante,Importante,Nada importante,Raramente,Frequentemente,Nunca,Não,Não,Não,Não,Sim,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Concordo parcialmente,Não,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como docente,Participei como aluno,Conheço mas não participei,Não conheço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Fundamental Incompleto,,Não tenho religião,,tanto ciência básica como aplicada,De esquerda,2,Ciências Exatas e da Terra,Sudeste,20
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Muito Interessado,Pouco Interessado,Interessado,Muito Interessado,Interessado,Nada Interessado,Muito Interessado,Nada Interessado,Sim,Sim,Sim,Sim,Não,Sim,Não sei,Sim,Não,geledes,Insuficiente,Negativas,Às vezes,Às vezes,Às vezes,Às vezes,Às vezes,Frequentemente,Frequentemente,Frequentemente,Muito prejudicial,Muito prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Prejudicial,Muito prejudicial,Muito prejudicial,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,,,,Muito importante,Sim,Não,Sim,Não,Não,Não,Não,Não,Sim,Concordo em parte,Concordo totalmente,Concordo totalmente,Discordo em parte,Concordo em parte,Discordo em parte,Concordo em parte,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,Muito importante,"Em geral, não",Sobre os resultados de sua pesquisa,2,2,,2 vezes,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,1 vez,Nenhuma vez,Nenhuma vez,1 vez,Nenhuma vez,Muito importante,,Importante,Pouco importante,Raramente,Raramente,,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Não,Não,Concordo totalmente,Não,Participei como docente,Participei como docente,Conheço mas não participei,Participei como docente,Conheço mas não participei,Participei como docente,Conheço mas não participei,Participei como docente,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Pertenço, mas não frequento muito","Pertenço, mas não frequento muito",Não pertenço,Não pertenço,"Sim, já fiz",Não sei,"Sim, já fiz","Sim, já fiz","Sim, já fiz",Feminino,Ensino Fundamental Incompleto,Branca,Ateu ou agnóstico,Nada importante,ciência básica,De esquerda,2,Ciências Humanas,Sul,22
Declaro que li os termos de meu consentimento e concordo em participar desta pesquisa,Interessado,Interessado,Muito Interessado,Interessado,Interessado,Interessado,Pouco Interessado,Pouco Interessado,Sim,Sim,Não,Não,Não,Não,Não,Sim,Não,PLOS,Insuficiente,Positivas,Nunca,Raramente,Às vezes,Raramente,Nunca,Nunca,Frequentemente,Nunca,Muito prejudicial,Muito prejudicial,Muito prejudicial,Não causa prejuízos,Prejudicial,Não causa prejuízos,Não causa prejuízos,Muito prejudicial,3.0,10.0,10.0,5.0,8.0,9.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sobre o seu objeto de pesquisa, mas não necessariamente sobre os resultados da sua pesquisa",0,0,Não,1 vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Nenhuma vez,Muito importante,Muito importante,Muito importante,Muito importante,,,,Não,Não,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não,Não,Não,Não,Não,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Concordo parcialmente,Não,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Participei como docente,Participei como docente,Conheço mas não participei,Conheço mas não participei,Conheço mas não participei,Não pertenço,Não pertenço,Não pertenço,"Pertenço, mas não frequento muito",Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,Não pertenço,"Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz","Sim, já fiz",Masculino,Ensino Superior,Branca,Cristã Protestantes históricas ,Pouco importante,ciência aplicada,De esquerda,2,Ciências Agrárias,Sul,6
